방화,플랫폼 양쪽,내리는 문 양쪽,화장실 개찰구 밖,반대편 횡단 가능
개화산,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
김포공항,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 불가능
송정,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
마곡,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
발산,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 불가능
우장산,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 불가능
화곡,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
까치산,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
신정,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 안,반대편 횡단 가능
목동,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
오목교,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 불가능
양평,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 안,반대편 횡단 가능
영등포구청,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
영등포시장,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
신길,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
여의도,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
여의나루,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
마포,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
공덕,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
애오개,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
충정로,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
서대문,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
광화문,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
종로3가,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 안,반대편 횡단 가능
을지로4가,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
동대문역사문화공원,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
청구,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
신금호,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
행당,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
왕십리,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 안/밖,반대편 횡단 가능
마장,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
답십리,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 불가능
장한평,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
군자,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
아차산,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
광나루,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
천호,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
길동,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
굽은다리,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
명일,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
고덕,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
상일동,플랫폼 양쪽,내리는 문 양쪽,화장실 개찰구 밖,반대편 횡단 가능
둔촌동,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
올림픽공원,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
방이,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
오금,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 안,반대편 횡단 가능
개롱,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
거여,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
마천,플랫폼 양쪽,내리는 문 양쪽,화장실 개찰구 밖,반대편 횡단 가능
강동,플랫폼 양쪽,내리는 문 양쪽,화장실 개찰구 밖,반대편 횡단 가능
