신분당,강남,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 안/밖,반대편 횡단 가능
신분당,양재,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 안/밖,반대편 횡단 가능
신분당,양재시민의숲,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 안/밖,반대편 횡단 가능
신분당,청계산입구,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 안/밖,반대편 횡단 가능
신분당,판교,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 안/밖,반대편 횡단 가능
신분당,정자,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 안/밖,반대편 횡단 가능
신분당,미금,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 불가능
신분당,동천,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
신분당,수지구청,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
신분당,성복,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
신분당,상현,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
신분당,광교중앙,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
신분당,광교,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
