2,까치산,양쪽,오른쪽,개찰구 밖,가능,201
2,시청,중앙,왼쪽,개찰구 안/밖,가능,202
2,을지로입구,양쪽,오른쪽,개찰구 밖,불가능,203
2,을지로3가,양쪽,오른쪽,개찰구 밖,불가능,204
2,을지로4가,양쪽,오른쪽,개찰구 밖,불가능,205
2,동대문역사문화공원,양쪽,오른쪽,개찰구 안/밖,가능,206
2,신당,양쪽,오른쪽,개찰구 밖,불가능,207
2,상왕십리,양쪽,오른쪽,개찰구 밖,불가능,208
2,왕십리,양쪽,오른쪽,개찰구 안/밖,불가능,209
2,한양대,양쪽,오른쪽,개찰구 밖,불가능,210
2,뚝섬,양쪽,오른쪽,개찰구 밖,불가능,211
2,성수,중앙,양쪽,개찰구 밖,가능,212
2,건대입구,양쪽,오른쪽,개찰구 안,가능,213
2,구의,양쪽,오른쪽,개찰구 밖,불가능,214
2,강변,양쪽,오른쪽,개찰구 밖,가능,215
2,잠실나루,양쪽,오른쪽,개찰구 밖,가능,216
2,잠실,양쪽,오른쪽,개찰구 밖,불가능,217
2,잠실새내,양쪽,오른쪽,개찰구 밖,불가능,218
2,종합운동장,양쪽,오른쪽,개찰구 밖,가능,219
2,삼성,중앙,왼쪽,개찰구 밖,가능,220
2,선릉,양쪽,오른쪽,개찰구 밖,불가능,221
2,역삼,양쪽,오른쪽,개찰구 밖,불가능,222
2,강남,양쪽,오른쪽,개찰구 안/밖,가능,223
2,교대,양쪽,오른쪽,개찰구 밖,불가능,224
2,서초,양쪽,오른쪽,개찰구 밖,불가능,225
2,방배,양쪽,오른쪽,개찰구 밖,가능,226
2,사당,양쪽,오른쪽,개찰구 밖,불가능,227
2,낙성대,양쪽,오른쪽,개찰구 밖,불가능,228
2,서울대입구,중앙,왼쪽,개찰구 밖,가능,229
2,봉천,중앙,왼쪽,개찰구 밖,가능,230
2,신림,중앙,왼쪽,개찰구 안,가능,231
2,신대방,양쪽,오른쪽,개찰구 안,가능,232
2,구로디지털단지,양쪽,오른쪽,개찰구 안,가능,233
2,대림,양쪽,오른쪽,개찰구 안,가능,234
2,신도림,양쪽,양쪽,개찰구 밖,가능,235
2,문래,양쪽,오른쪽,개찰구 밖,불가능,236
2,영등포구청,양쪽,오른쪽,개찰구 안,가능,237
2,당산,양쪽,오른쪽,개찰구 안,가능,238
2,합정,양쪽,오른쪽,개찰구 밖,불가능,239
2,홍대입구,중앙,왼쪽,개찰구 밖,가능,240
2,신촌,양쪽,오른쪽,개찰구 밖,불가능,241
2,이대,중앙,왼쪽,개찰구 밖,가능,242
2,아현,양쪽,오른쪽,개찰구 밖,불가능,243
2,충정로,중앙,왼쪽,개찰구 밖,가능,244
2,용답,양쪽,오른쪽,개찰구 밖,가능,245
2,신답,양쪽,오른쪽,개찰구 안/밖,가능,246
2,신설동,양쪽,오른쪽,개찰구 안,가능,247
2,도림천,양쪽,오른쪽,개찰구 밖,가능,248
2,양천구청,양쪽,오른쪽,개찰구 안,가능,249
2,신정네거리,양쪽,오른쪽,개찰구 밖,불가능,250
2,용두,양쪽,오른쪽,개찰구 안/밖,가능,251
