응암,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
역촌,플랫폼 한쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 불가능
불광,플랫폼 한쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 불가능
독바위,플랫폼 한쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
연신내,플랫폼 한쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 불가능
구산,플랫폼 한쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
새절,플랫폼 복선,내리는 문 양쪽,화장실 개찰구 밖,반대편 횡단 가능
증산,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
디지털미디어시티,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 안/밖,반대편 횡단 가능
월드컵경기장,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 안/밖,반대편 횡단 가능
마포구청,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
망원,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
합정,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
상수,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
광흥창,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
대흥,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
공덕,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
효창공원앞,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
삼각지,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
녹사평,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
이태원,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
한강진,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
버티고개,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
약수,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
청구,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
신당,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
동묘앞,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
창신,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 안,반대편 횡단 가능
보문,플랫폼 중앙,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
안암,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 안/밖,반대편 횡단 가능
고려대,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 안,반대편 횡단 가능
월곡,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
상월곡,플랫폼 양쪽,내리는 문 왼쪽,화장실 개찰구 밖,반대편 횡단 가능
돌곶이,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
석계,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 안/밖,반대편 횡단 가능
태릉입구,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
화랑대,플랫폼 양쪽,내리는 문 오른쪽,화장실 개찰구 밖,반대편 횡단 가능
봉화산,플랫폼 중앙,내리는 문 양쪽,화장실 개찰구 밖,반대편 횡단 가능
